DATE,CODE BASE SEC,SEC DSC, LOWER PRICE , TODAY PRICE , UPPER PRICE , STDEV 
20221031,FR0093,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0093, 89.545514 , 89.845514 , 90.145514 , 0.3000 
20221031,FR0094,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0094, 92.464176 , 92.724176 , 92.984176 , 0.2600 
20221031,FR0095,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0095, 95.127238 , 95.387238 , 95.647238 , 0.2600 
20221031,FR0096,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0096, 95.325000 , 95.625000 , 95.925000 , 0.3000 
20221031,FR0097,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0097, 95.575400 , 95.875400 , 96.175400 , 0.3000 
20221031,FR0098,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0098, 95.506818 , 95.806818 , 96.106818 , 0.3000 
20221031,FRS001,SBSN SERI FRS001, 99.593754 , 99.853754 , 100.113754 , 0.2600 
20221031,FRS002,SBSN SERI FRS002, 99.553754 , 99.853754 , 100.153754 , 0.3000 
20221031,FRSDG001,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FRSDG001, 98.822613 , 99.122613 , 99.422613 , 0.3000 
20221031,IFR0006,SBSN SERI IFR0006, 119.034992 , 119.334992 , 119.634992 , 0.3000 
20221031,IFR0007,SBSN SERI IFR0007, 108.784944 , 109.009944 , 109.234944 , 0.2250 
20221031,IFR0010,SBSN SERI IFR0010, 117.444726 , 117.744726 , 118.044726 , 0.3000 
20221031,ORI017,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI017, 100.174950 , 100.374950 , 100.574950 , 0.2000 
20221031,ORI018,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI018, 99.557872 , 99.757872 , 99.957872 , 0.2000 
20221031,ORI019,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI019, 98.696325 , 98.921325 , 99.146325 , 0.2250 
20221031,ORI020,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI020, 96.994226 , 97.219226 , 97.444226 , 0.2250 
20221031,ORI021,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI021, 95.502279 , 95.727279 , 95.952279 , 0.2250 
20221031,ORI022,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI022, 99.787843 , 100.012843 , 100.237843 , 0.2250 
20221031,PBS003,SBSN SERI PBS003, 96.430196 , 96.690196 , 96.950196 , 0.2600 
20221031,PBS004,SBSN SERI PBS004, 93.643425 , 93.943425 , 94.243425 , 0.3000 
20221031,PBS005,SBSN SERI PBS005, 96.634637 , 96.934637 , 97.234637 , 0.3000 
20221031,PBS007,SBSN SERI PBS007, 116.192564 , 116.492564 , 116.792564 , 0.3000 
20221031,PBS011,SBSN SERI PBS011, 101.965202 , 102.165202 , 102.365202 , 0.2000 
20221031,PBS012,SBSN SERI PBS012, 111.656373 , 111.956373 , 112.256373 , 0.3000 
20221031,PBS015,SBSN SERI PBS015, 106.698250 , 106.998250 , 107.298250 , 0.3000 
20221031,PBS017,SBSN SERI PBS017, 99.946391 , 100.171391 , 100.396391 , 0.2250 
20221031,PBS018,SBSN SERI PBS018, 104.251810 , 104.511810 , 104.771810 , 0.2600 
20221031,PBS019,SBSN SERI PBS019, 102.207053 , 102.407053 , 102.607053 , 0.2000 
20221031,PBS020,SBSN SERI PBS020, 109.073268 , 109.333268 , 109.593268 , 0.2600 
20221031,PBS021,SBSN SERI PBS021, 107.429333 , 107.689333 , 107.949333 , 0.2600 
20221031,PBS022,SBSN SERI PBS022, 109.096211 , 109.396211 , 109.696211 , 0.3000 
20221031,PBS023,SBSN SERI PBS023, 106.461391 , 106.761391 , 107.061391 , 0.3000 
20221031,PBS024,SBSN SERI PBS024, 101.376183 , 101.676183 , 101.976183 , 0.3000 
20221031,PBS025,SBSN SERI PBS025, 106.931546 , 107.231546 , 107.531546 , 0.3000 
