DATE,CODE BASE SEC,SEC DSC, LOWER PRICE , TODAY PRICE , UPPER PRICE , STDEV 
20221114,FR0037,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0037, 116.467899 , 116.727899 , 116.987899 , 0.2600 
20221114,FR0039,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0039, 104.247040 , 104.447040 , 104.647040 , 0.2000 
20221114,FR0040,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0040, 110.378010 , 110.603010 , 110.828010 , 0.2250 
20221114,FR0042,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0042, 112.269380 , 112.529380 , 112.789380 , 0.2600 
20221114,FR0044,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0044, 105.255000 , 105.480000 , 105.705000 , 0.2250 
20221114,FR0045,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0045, 120.089026 , 120.389026 , 120.689026 , 0.3000 
20221114,FR0046,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0046, 102.410015 , 102.610015 , 102.810015 , 0.2000 
20221114,FR0047,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0047, 112.180091 , 112.440091 , 112.700091 , 0.2600 
20221114,FR0050,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0050, 127.811058 , 128.111058 , 128.411058 , 0.3000 
20221114,FR0052,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0052, 118.258306 , 118.558306 , 118.858306 , 0.3000 
20221114,FR0054,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0054, 113.233988 , 113.533988 , 113.833988 , 0.3000 
20221114,FR0056,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0056, 104.632429 , 104.892429 , 105.152429 , 0.2600 
20221114,FR0057,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0057, 116.478333 , 116.778333 , 117.078333 , 0.3000 
