NAV DATE|CB CODE|FUND CODE|NAV_PER_UNIT|NAV|30 DAYS PERFORMANCE (%)|LAST 1 YEAR PERFORMANCE (%)|LAST 1 YEAR REAL PERFORMANCE (%)|OUTSTANDING UNIT|NOTES|REVISION
20221121|BSM01|AAM01MMSSHIMMF00|1016.770000|12606287227.98|0.22|0.00|0.00|12398333.6640||
20221121|BSM01|ANA02MMSAPUSPY00|1021.520000|10309889368.14|0.22|0.00|0.00|10092729.1229||
20221121|BSM01|DH002DFSAMADEI00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSARIESA00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSARTHUR00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSELKAJA00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSFENNYL00|1005.100900|6231625641.56|0.62|0.00|0.00|6200000.0000||
20221121|BSM01|DH002DFSHELENN00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSHENRYZ00|1005.643100|5028215253.40|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSIVANHI00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSKUNAJA00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSKWEELI00|1005.149800|10051498283.48|0.62|0.00|0.00|10000000.0000||
20221121|BSM01|DH002DFSLILYAR00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSMELDAA00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSRICARD00|1005.181400|20103628500.97|0.62|0.00|0.00|20000000.0000||
20221121|BSM01|DH002DFSSHINTA00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSSONSUM00|1005.825300|51800003115.43|0.62|0.00|0.00|51500000.0000||
20221121|BSM01|DH002DFSSRIIKA00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSSUGANA00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSTANILI00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|DH002DFSTIRTOA00|1005.162800|12665051667.75|0.62|0.00|0.00|12600000.0000||
20221121|BSM01|DH002DFSVELZON00|1005.122600|7035858532.86|0.62|0.00|0.00|7000000.0000||
20221121|BSM01|DH002DFSVIKTOR00|1005.155600|11056711533.69|0.62|0.00|0.00|11000000.0000||
20221121|BSM01|DH002DFSVIVIAN00|1005.118600|6734294557.79|0.62|0.00|0.00|6700000.0000||
20221121|BSM01|DH002DFSWELLYS00|1005.018500|5025092662.80|0.61|0.00|0.00|5000000.0000||
20221121|BSM01|GAMA2MMSRSSSLB00|1007.690000|10506349975.58|0.06|0.26|0.26|10426182.6270||
20221121|BSM01|SYA02MMSSSMMF202|999.690000|996647249.54|-0.22|-0.14|-0.14|996954.5961||
20221121|BSM01|TP002MMSADKSAS00|1006.220000|4039533158.46|0.13|0.00|0.00|4014570.7355||
20221121|BSM01|TP002MMSADKSRY00|0.000000|0.00|0.00|0.00|0.00|0.0000||
20221121|BSM01|TP002MMSADKSYE00|0.000000|563975.62|-100.00|-100.00|-100.00|0.0000||
20221121|BSM01|TP002MMSAKSYIN00|1007.980000|100349050465.58|0.29|0.00|0.00|99554989.1983||
20221121|BSM01|TP002MMSAVALSY00|1106.420000|219616241325.93|0.27|2.47|2.47|198493114.4455||
20221121|BSM01|TP002PFSSAPTSB04|1039.120000|43082631982.16|1.21|10.74|10.74|41460886.2556||
20221121|BSM01|TP002PFSSAPTSB05|1016.060000|27018174447.66|1.37|0.00|0.00|26591088.6163||
20221121|BSM01|ZG002FISPPRIFS00|1021.980000|3534578359.68|1.00|-2.43|-2.43|3458566.8549||
20221121|BSM01|ZG002MMSCPCFSY02|1035.410000|13065250012.89|0.21|1.37|1.37|12618381.1808||
