20221122|AAM01MMSSHIMMF00|106417152.627641|0.000000|164122197.760000|0.000000|270539350.387641|0.000000|62500000000.000000|-50163292494.590000|12607246855.797641
20221122|ANA02MMSAPUSPY00|99495304.577285|6700000.000000|0.000000|0.000000|106195304.577285|0.000000|58734876241.710000|-48530419473.210000|10310652073.077285
20221122|GAMA2MMSRSSSLB00|148083304.797207|0.000000|1413758978.440000|-143263005.000000|1418579278.237207|0.000000|410500000000.000000|-401413758978.450000|10504820299.787207
20221122|SYA02MMSSSMMF202|494263.826964|0.000000|1393476110.750000|0.000000|1393970374.576964|0.000000|412000000000.000000|-412397339051.400000|996631323.176964
20221122|TP002MMSADKSAS00|46194368.294974|0.000000|0.000000|0.000000|46194368.294974|0.000000|69000300000.000000|-65006750000.000000|4039744368.294974
20221122|TP002MMSADKSRY00|263286142.139782|0.000000|407423223.740000|0.000000|670709365.879782|0.000000|300001000000.000000|-300671709365.880000|-0.000218
20221122|TP002MMSADKSYE00|1398632970.151954|0.000000|1789027929.920000|0.000000|3187660900.071954|0.000000|1260000000000.000000|-1263187096924.450000|563975.621954
20221122|TP002MMSAKSYIN00|858540797.478295|-50000000.000000|0.000000|0.000000|808540797.478295|0.000000|200475000000.000000|-100923768504.820000|100359772292.658295
20221122|TP002MMSAVALSY00|6195861933.953559|-50250000.000000|15193964268.590000|-775759916.940000|20563816285.603559|0.000000|3387991024875.000000|-3188902806715.750000|219652034444.853559
20221122|TP002PFSSAPTSB04|3794092329.676682|956440500.000000|10145672066.520000|-969325294.000000|13926879602.196682|-11264326807.750000|62472010987.000000|-22043666278.000000|43090897503.446682
20221122|TP002PFSSAPTSB05|469498688.819187|0.000000|0.000000|-25003065.000000|444495623.819187|-34030277.870000|26591088616.320000|0.000000|27001553962.269187
20221122|ZG002FISPPRIFS00|190976899.252057|-161891434.782609|334942102.110000|-163628010.717391|200399555.862057|0.000000|26043610438.940000|-22709203474.220000|3534806520.582057
20221122|ZG002MMSCPCFSY02|279338565.054511|0.000000|220766469.070000|-109123265.000000|390981769.124511|0.000000|44717495998.880000|-32048713920.480000|13059763847.524511
