NAV DATE|CB CODE|FUND CODE|NAV_PER_UNIT|NAV|30 DAYS PERFORMANCE (%)|LAST 1 YEAR PERFORMANCE (%)|LAST 1 YEAR REAL PERFORMANCE (%)|OUTSTANDING UNIT|NOTES|REVISION
20221118|BSM01|AAM01MMSSHIMMF00|1016.540000|12603408254.18|0.21|0.00|0.00|12398333.6640||
20221118|BSM01|ANA02MMSAPUSPY00|1021.260000|10307320617.73|0.21|0.00|0.00|10092729.1229||
20221118|BSM01|DH002DFSAMADEI00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSARIESA00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSARTHUR00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSELKAJA00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSFENNYL00|1004.469600|6227711506.99|0.60|0.00|0.00|6200000.0000||
20221118|BSM01|DH002DFSHELENN00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSHENRYZ00|1005.012300|5025061436.56|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSIVANHI00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSKUNAJA00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSKWEELI00|1004.517700|10045177360.23|0.60|0.00|0.00|10000000.0000||
20221118|BSM01|DH002DFSLILYAR00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSMELDAA00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSRICARD00|1004.548700|20090973907.11|0.60|0.00|0.00|20000000.0000||
20221118|BSM01|DH002DFSSHINTA00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSSONSUM00|1005.192200|51767400593.44|0.60|0.00|0.00|51500000.0000||
20221118|BSM01|DH002DFSSRIIKA00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSSUGANA00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSTANILI00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|DH002DFSTIRTOA00|1004.530500|12657083990.10|0.60|0.00|0.00|12600000.0000||
20221118|BSM01|DH002DFSVELZON00|1004.491100|7031437710.72|0.60|0.00|0.00|7000000.0000||
20221118|BSM01|DH002DFSVIKTOR00|1004.523400|11049757243.40|0.60|0.00|0.00|11000000.0000||
20221118|BSM01|DH002DFSVIVIAN00|1004.487100|6730063745.77|0.60|0.00|0.00|6700000.0000||
20221118|BSM01|DH002DFSWELLYS00|1004.387700|5021938541.68|0.59|0.00|0.00|5000000.0000||
20221118|BSM01|GAMA2MMSRSSSLB00|1006.920000|10498352564.03|0.00|0.19|0.19|10426182.6270||
20221118|BSM01|SYA02MMSSSMMF202|999.740000|996695029.49|-0.22|-0.13|-0.13|996954.5961||
20221118|BSM01|TP002MMSADKSAS00|1006.060000|4038899519.52|0.12|0.00|0.00|4014570.7355||
20221118|BSM01|TP002MMSADKSRY00|0.000000|0.00|0.00|0.00|0.00|0.0000||
20221118|BSM01|TP002MMSADKSYE00|0.000000|563975.62|-100.00|-100.00|-100.00|0.0000||
20221118|BSM01|TP002MMSAKSYIN00|1007.650000|100316884505.14|0.27|0.00|0.00|99554989.1983||
20221118|BSM01|TP002MMSAVALSY00|1106.050000|219542838823.46|0.25|2.44|2.44|198493114.4455||
20221118|BSM01|TP002PFSSAPTSB04|1038.190000|43044144472.75|0.86|10.66|10.66|41460886.2556||
20221118|BSM01|TP002PFSSAPTSB05|1014.540000|26977734715.60|1.08|0.00|0.00|26591088.6163||
20221118|BSM01|ZG002FISPPRIFS00|1020.740000|3530312931.83|0.71|-2.51|-2.51|3458566.8549||
20221118|BSM01|ZG002MMSCPCFSY02|1035.050000|13059038980.62|0.18|1.34|1.34|12616863.8573||
