DATE,CODE BASE SEC,SEC DSC, LOWER PRICE , TODAY PRICE , UPPER PRICE , STDEV 
20221121,FR0037,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0037, 116.710077 , 116.970077 , 117.230077 , 0.2600 
20221121,FR0039,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0039, 104.133543 , 104.333543 , 104.533543 , 0.2000 
20221121,FR0040,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0040, 110.547206 , 110.772206 , 110.997206 , 0.2250 
20221121,FR0042,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0042, 112.608402 , 112.868402 , 113.128402 , 0.2600 
20221121,FR0044,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0044, 105.450000 , 105.675000 , 105.900000 , 0.2250 
20221121,FR0045,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0045, 120.854311 , 121.154311 , 121.454311 , 0.3000 
20221121,FR0046,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0046, 102.320399 , 102.520399 , 102.720399 , 0.2000 
20221121,FR0047,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0047, 112.574453 , 112.834453 , 113.094453 , 0.2600 
20221121,FR0050,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0050, 127.553500 , 127.853500 , 128.153500 , 0.3000 
20221121,FR0052,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0052, 118.832646 , 119.132646 , 119.432646 , 0.3000 
20221121,FR0054,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0054, 113.836134 , 114.136134 , 114.436134 , 0.3000 
20221121,FR0056,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0056, 104.728873 , 104.988873 , 105.248873 , 0.2600 
20221121,FR0057,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0057, 116.926000 , 117.226000 , 117.526000 , 0.3000 
20221121,FR0058,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0058, 106.165591 , 106.465591 , 106.765591 , 0.3000 
20221121,FR0059,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0059, 99.968248 , 100.228248 , 100.488248 , 0.2600 
20221121,FR0062,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0062, 89.312500 , 89.612500 , 89.912500 , 0.3000 
20221121,FR0063,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0063, 100.016460 , 100.216460 , 100.416460 , 0.2000 
20221121,FR0064,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0064, 95.215000 , 95.475000 , 95.735000 , 0.2600 
20221121,FR0065,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0065, 94.681206 , 94.981206 , 95.281206 , 0.3000 
20221121,FR0067,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0067, 113.249500 , 113.549500 , 113.849500 , 0.3000 
20221121,FR0068,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0068, 106.793167 , 107.093167 , 107.393167 , 0.3000 
20221121,FR0070,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0070, 102.436104 , 102.661104 , 102.886104 , 0.2250 
20221121,FR0071,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0071, 109.331750 , 109.631750 , 109.931750 , 0.3000 
20221121,FR0072,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0072, 106.659783 , 106.959783 , 107.259783 , 0.3000 
20221121,FR0073,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0073, 109.011513 , 109.311513 , 109.611513 , 0.3000 
20221121,FR0074,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0074, 101.455222 , 101.755222 , 102.055222 , 0.3000 
20221121,FR0075,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0075, 101.037139 , 101.337139 , 101.637139 , 0.3000 
20221121,FR0076,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0076, 99.472286 , 99.772286 , 100.072286 , 0.3000 
20221121,FR0077,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0077, 102.276922 , 102.501922 , 102.726922 , 0.2250 
20221121,FR0078,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0078, 105.602125 , 105.902125 , 106.202125 , 0.3000 
20221121,FR0079,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0079, 107.918500 , 108.218500 , 108.518500 , 0.3000 
20221121,FR0080,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0080, 101.375000 , 101.675000 , 101.975000 , 0.3000 
20221121,FR0081,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0081, 99.341299 , 99.566299 , 99.791299 , 0.2250 
20221121,FR0082,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0082, 98.782099 , 99.082099 , 99.382099 , 0.3000 
20221121,FR0083,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0083, 101.094808 , 101.394808 , 101.694808 , 0.3000 
20221121,FR0084,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0084, 101.046522 , 101.306522 , 101.566522 , 0.2600 
20221121,FR0085,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0085, 101.125000 , 101.425000 , 101.725000 , 0.3000 
20221121,FR0086,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0086, 95.819492 , 96.079492 , 96.339492 , 0.2600 
20221121,FR0087,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0087, 95.756500 , 96.056500 , 96.356500 , 0.3000 
20221121,FR0088,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0088, 91.095250 , 91.395250 , 91.695250 , 0.3000 
20221121,FR0089,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0089, 93.961698 , 94.261698 , 94.561698 , 0.3000 
20221121,FR0090,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0090, 93.431524 , 93.691524 , 93.951524 , 0.2600 
20221121,FR0091,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0091, 95.025000 , 95.325000 , 95.625000 , 0.3000 
20221121,FR0092,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0092, 99.268750 , 99.568750 , 99.868750 , 0.3000 
20221121,FR0093,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0093, 93.740250 , 94.040250 , 94.340250 , 0.3000 
20221121,FR0094,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0094, 93.708500 , 93.968500 , 94.228500 , 0.2600 
20221121,FR0095,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0095, 96.212952 , 96.472952 , 96.732952 , 0.2600 
20221121,FR0096,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0096, 98.101259 , 98.401259 , 98.701259 , 0.3000 
20221121,FR0097,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0097, 98.817250 , 99.117250 , 99.417250 , 0.3000 
20221121,FR0098,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0098, 98.954333 , 99.254333 , 99.554333 , 0.3000 
20221121,FRS001,SBSN SERI FRS001, 99.609826 , 99.869826 , 100.129826 , 0.2600 
20221121,FRS002,SBSN SERI FRS002, 99.569826 , 99.869826 , 100.169826 , 0.3000 
20221121,FRSDG001,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FRSDG001, 100.533936 , 100.833936 , 101.133936 , 0.3000 
20221121,IFR0006,SBSN SERI IFR0006, 119.941837 , 120.241837 , 120.541837 , 0.3000 
20221121,IFR0007,SBSN SERI IFR0007, 109.030353 , 109.255353 , 109.480353 , 0.2250 
20221121,IFR0010,SBSN SERI IFR0010, 119.518004 , 119.818004 , 120.118004 , 0.3000 
20221121,ORI017,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI017, 100.170365 , 100.370365 , 100.570365 , 0.2000 
20221121,ORI018,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI018, 99.788895 , 99.988895 , 100.188895 , 0.2000 
20221121,ORI019,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI019, 98.914384 , 99.139384 , 99.364384 , 0.2250 
20221121,ORI020,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI020, 97.022071 , 97.247071 , 97.472071 , 0.2250 
20221121,ORI021,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI021, 96.291231 , 96.516231 , 96.741231 , 0.2250 
20221121,ORI022,OBLIGASI NEGARA REPUBLIK INDONESIA SERI ORI022, 100.519040 , 100.744040 , 100.969040 , 0.2250 
20221121,PBS003,SBSN SERI PBS003, 96.229917 , 96.489917 , 96.749917 , 0.2600 
20221121,PBS004,SBSN SERI PBS004, 95.621315 , 95.921315 , 96.221315 , 0.3000 
20221121,PBS005,SBSN SERI PBS005, 99.646147 , 99.946147 , 100.246147 , 0.3000 
20221121,PBS007,SBSN SERI PBS007, 118.642351 , 118.942351 , 119.242351 , 0.3000 
20221121,PBS011,SBSN SERI PBS011, 101.890230 , 102.090230 , 102.290230 , 0.2000 
20221121,PBS012,SBSN SERI PBS012, 112.895881 , 113.195881 , 113.495881 , 0.3000 
20221121,PBS015,SBSN SERI PBS015, 109.696924 , 109.996924 , 110.296924 , 0.3000 
20221121,PBS017,SBSN SERI PBS017, 100.289144 , 100.514144 , 100.739144 , 0.2250 
20221121,PBS018,SBSN SERI PBS018, 105.746371 , 106.006371 , 106.266371 , 0.2600 
20221121,PBS019,SBSN SERI PBS019, 101.885742 , 102.085742 , 102.285742 , 0.2000 
20221121,PBS020,SBSN SERI PBS020, 110.282492 , 110.542492 , 110.802492 , 0.2600 
20221121,PBS021,SBSN SERI PBS021, 108.258075 , 108.518075 , 108.778075 , 0.2600 
20221121,PBS022,SBSN SERI PBS022, 110.594692 , 110.894692 , 111.194692 , 0.3000 
20221121,PBS023,SBSN SERI PBS023, 107.319551 , 107.619551 , 107.919551 , 0.3000 
