DATE,CODE BASE SEC,SEC DSC, LOWER PRICE , TODAY PRICE , UPPER PRICE , STDEV 
20221109,FR0037,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0037, 116.059097 , 116.319097 , 116.579097 , 0.2600 
20221109,FR0039,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0039, 104.159492 , 104.359492 , 104.559492 , 0.2000 
20221109,FR0040,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0040, 110.120408 , 110.345408 , 110.570408 , 0.2250 
20221109,FR0042,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0042, 111.683768 , 111.943768 , 112.203768 , 0.2600 
20221109,FR0044,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0044, 105.337702 , 105.562702 , 105.787702 , 0.2250 
20221109,FR0045,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0045, 118.983542 , 119.359141 , 119.734741 , 0.3756 
20221109,FR0046,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0046, 102.325669 , 102.525669 , 102.725669 , 0.2000 
20221109,FR0047,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0047, 111.487259 , 111.747259 , 112.007259 , 0.2600 
20221109,FR0050,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0050, 126.622979 , 126.998579 , 127.374178 , 0.3756 
20221109,FR0052,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0052, 117.333895 , 117.633895 , 117.933895 , 0.3000 
20221109,FR0054,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0054, 112.320311 , 112.620311 , 112.920311 , 0.3000 
20221109,FR0056,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0056, 104.038171 , 104.298171 , 104.558171 , 0.2600 
20221109,FR0057,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0057, 116.239901 , 116.615500 , 116.991099 , 0.3756 
20221109,FR0058,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0058, 104.675783 , 104.975783 , 105.275783 , 0.3000 
20221109,FR0059,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0059, 99.085936 , 99.345936 , 99.605936 , 0.2600 
20221109,FR0062,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0062, 88.968567 , 89.344167 , 89.719766 , 0.3756 
20221109,FR0063,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0063, 99.998794 , 100.198794 , 100.398794 , 0.2000 
20221109,FR0064,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0064, 94.487128 , 94.747128 , 95.007128 , 0.2600 
20221109,FR0065,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0065, 92.788258 , 93.163857 , 93.539456 , 0.3756 
20221109,FR0067,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0067, 112.388747 , 112.764346 , 113.139946 , 0.3756 
20221109,FR0068,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0068, 105.543115 , 105.918714 , 106.294314 , 0.3756 
20221109,FR0070,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0070, 102.131375 , 102.356375 , 102.581375 , 0.2250 
20221109,FR0071,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0071, 107.787681 , 108.087681 , 108.387681 , 0.3000 
20221109,FR0072,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0072, 104.677686 , 105.053286 , 105.428885 , 0.3756 
20221109,FR0073,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0073, 107.534015 , 107.834015 , 108.134015 , 0.3000 
